date,code,side,price,shares,fee
2025-08-28,300059,BUY,27.96,10729,299.98284
2025-08-29,300059,SELL,28.91,250,7.2275
2025-09-01,300059,BUY,28.69,56,1.60664
2025-09-02,300059,BUY,27.85,223,6.2105500000000005
2025-09-03,300059,BUY,26.63,345,9.18735
2025-09-04,300059,BUY,26.21,124,3.25004
2025-09-05,300059,SELL,26.6,115,3.059
2025-09-17,300059,SELL,28.21,444,12.52524
2025-09-18,300059,BUY,26.87,372,9.995640000000002
2025-09-19,300059,BUY,26.55,93,2.46915
2025-09-22,300059,SELL,26.89,98,2.6352200000000003
2025-10-09,300059,BUY,26.76,37,0.99012
2025-10-29,300059,BUY,26.49,79,2.0927100000000003
2025-10-30,300059,BUY,25.63,262,6.715059999999999
2025-10-31,300059,BUY,25.5,41,1.0455
2025-11-03,300059,SELL,25.56,19,0.48564
