datetime,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300678,34.2,35.45,35.66,33.68,244901,854390847.0,5.83,4.33,1.47,8.41
2025-08-04,300678,35.17,37.24,37.52,35.01,323040,1186044279.0,7.08,5.05,1.79,11.09
2025-08-05,300678,36.9,37.36,37.82,36.31,242124,897718707.0,4.05,0.32,0.12,8.31
2025-08-06,300678,37.51,37.24,38.46,37.11,228061,855415038.0,3.61,-0.32,-0.12,7.83
2025-08-07,300678,38.54,38.44,41.43,37.88,408987,1608260259.0,9.53,3.22,1.2,14.04
2025-08-08,300678,39.95,36.89,40.83,36.17,495544,1909876729.0,12.12,-4.03,-1.55,17.01
2025-08-11,300678,36.24,38.1,39.88,36.24,344082,1321779707.0,9.87,3.28,1.21,11.81
2025-08-12,300678,37.8,37.96,38.84,37.43,248166,942203093.0,3.7,-0.37,-0.14,8.52
2025-08-13,300678,37.68,37.9,38.13,37.08,191125,718888115.0,2.77,-0.16,-0.06,6.56
2025-08-14,300678,37.71,38.37,38.9,37.26,254464,970339251.0,4.33,1.24,0.47,8.74
2025-08-15,300678,38.04,38.2,38.46,37.77,180768,688892226.0,1.8,-0.44,-0.17,6.21
2025-08-18,300678,38.4,39.43,40.4,38.3,293220,1165155455.0,5.5,3.22,1.23,10.07
2025-08-19,300678,39.03,38.55,39.49,38.5,178555,693592218.0,2.51,-2.23,-0.88,6.13
2025-08-20,300678,38.24,38.03,38.25,37.01,172493,648759492.0,3.22,-1.35,-0.52,5.92
2025-08-21,300678,38.0,37.86,38.56,37.52,140352,532682973.0,2.73,-0.45,-0.17,4.82
2025-08-22,300678,37.88,39.48,39.5,37.63,252906,981510305.0,4.94,4.28,1.62,8.68
2025-08-25,300678,40.43,40.14,40.98,39.2,290626,1161785719.0,4.51,1.67,0.66,9.98
2025-08-26,300678,39.55,39.19,40.12,38.99,235070,928182548.0,2.82,-2.37,-0.95,8.07
2025-08-27,300678,39.95,37.76,39.98,37.75,227673,890499615.0,5.69,-3.65,-1.43,7.82
2025-08-28,300678,37.73,38.98,39.0,37.0,227618,863274546.0,5.3,3.23,1.22,7.81
2025-08-29,300678,38.75,37.7,38.88,37.59,140285,533209485.0,3.31,-3.28,-1.28,4.82
2025-09-01,300678,38.02,38.72,39.2,38.0,175078,676710262.0,3.18,2.71,1.02,6.01
2025-09-02,300678,38.33,36.49,38.5,36.09,178661,660671987.0,6.22,-5.76,-2.23,6.13
2025-09-03,300678,36.49,36.25,37.65,35.6,138016,504958573.0,5.62,-0.66,-0.24,4.74
2025-09-04,300678,36.3,36.33,38.71,35.8,232468,868995672.0,8.03,0.22,0.08,7.98
2025-09-05,300678,36.52,36.57,37.0,35.06,131391,472730754.0,5.34,0.66,0.24,4.51
2025-09-08,300678,36.75,36.52,36.75,35.76,103010,373409855.0,2.71,-0.14,-0.05,3.54
2025-09-09,300678,36.53,35.28,36.58,35.13,94634,337587650.0,3.97,-3.4,-1.24,3.25
2025-09-10,300678,35.4,35.16,35.82,35.13,65676,232358863.0,1.96,-0.34,-0.12,2.25
2025-09-11,300678,35.28,36.06,36.15,34.82,105152,374502986.0,3.78,2.56,0.9,3.61
